ID #,Subj,#,Sec,Title,Dates,Days,Time,Enrolled,Size,Cr/Hr,Status,Instructor,Delivery Method,Loc,LASC/WI,18online,Tuition -resident,Tuition unit,Tuition -nonresident,Approximate Course Fees,timestamp,year_term
001653,ACCT,1101,01,Payroll,,,,1,1,3.0,Full,,,,,False,$717.00,course,"$1,434.00",$131.88,1512620589.89872,20185
000001,ACCT,230,01,Principles of Accounting I,01/08-05/09,M W,12:00pm-1:15pm,40,40,3.0,Full,"Stone,Mary",,Center for Business 0105,,False,$717.00,course,"$1,434.00",$131.88,1512620590.135249,20185
000070,ACCT,230,02,Principles of Accounting I,01/08-05/09,T Th,10:30am-11:45am,40,40,3.0,Full,"Erickson,Sheri",,Center for Business 0103,,False,$717.00,course,"$1,434.00",$131.88,1512620590.381105,20185
000071,ACCT,230,03,Principles of Accounting I,01/08-05/09,M W,1:30pm-2:45pm,26,40,3.0,Open,"Stone,Mary",,Center for Business 0105,,False,$717.00,course,"$1,434.00",$131.88,1512620590.618253,20185
000447,ACCT,230,04,Principles of Accounting I,01/08-05/09,n/a,Arranged,24,25,3.0,Full,"Johnson,Lori",Mostly Online,ON LINE,,False,$717.00,course,"$1,434.00",$166.41,1512620590.840313,20185
001437,ACCT,230,05,Principles of Accounting I,01/08-05/09,M W,3:00pm-4:15pm,1,40,3.0,Open,"Johnson,Lori",,Center for Business 0105,,False,$717.00,course,"$1,434.00",$131.88,1512620591.06401,20185
000788,ACCT,231,02,Principles of Accounting II,01/08-05/09,M W,1:30pm-2:45pm,32,40,3.0,Open,"Mollberg,Kim",,Center for Business 0113,,False,$717.00,course,"$1,434.00",$131.88,1512620591.289852,20185
000629,ACCT,231,03,Principles of Accounting II,01/08-05/09,T Th,12:00pm-1:15pm,41,40,3.0,Full,"Johnson,Lori",,Center for Business 0105,,False,$717.00,course,"$1,434.00",$131.88,1512620591.521425,20185
000444,ACCT,231,04,Principles of Accounting II,01/08-05/09,n/a,Arranged,13,25,3.0,Open,"Mollberg,Kim",Mostly Online,ON LINE,,False,$717.00,course,"$1,434.00",$166.41,1512620591.736159,20185
000069,ACCT,280,01,Legal Environment of Business,01/08-05/09,T Th,9:00am-10:15am,40,50,3.0,Open,"Violet,William",,Center for Business 0109,,False,$717.00,course,"$1,434.00",$149.88,1512620591.94923,20185
000595,ACCT,280,02,Legal Environment of Business,01/08-05/09,T Th,1:30pm-2:45pm,34,50,3.0,Open,"Violet,William",,Center for Business 0109,,False,$717.00,course,"$1,434.00",$149.88,1512620592.160049,20185
000176,ACCT,280,03,Legal Environment of Business,01/08-05/09,n/a,Arranged,27,25,3.0,Full,"Mehnert-Meland,Ralf",Completely Online-Asynchronous,ON LINE,,False,$717.00,course,"$1,434.00",$184.41,1512620592.370822,20185
000787,ACCT,306,01,Contracts and Business Entities,01/08-05/09,T Th,10:30am-11:45am,19,50,3.0,Open,"Violet,William",,Center for Business 0109,,False,$717.00,course,"$1,434.00",$149.88,1512620592.575615,20185
000256,ACCT,321,01,Employment Law,01/08-05/09,n/a,Arranged,1,5,3.0,Open,"Schaefer Kukowski,Deborah",Completely Online-Asynchronous,ON LINE,,False,$717.00,course,"$1,434.00",$184.41,1512620592.775326,20185
000072,ACCT,330,01,Intermediate Accounting I,01/08-05/09,T Th,12:00pm-1:15pm,17,30,3.0,Open,"Sliwoski,Leonard",,Center for Business 0203,,False,$717.00,course,"$1,434.00",$149.88,1512620592.994472,20185
001258,ACCT,331,01,Intermediate Accounting II,01/08-05/09,T Th,1:30pm-2:45pm,17,30,3.0,Open,"Sliwoski,Leonard",,Center for Business 0203,,False,$717.00,course,"$1,434.00",$149.88,1512620593.210474,20185
000907,ACCT,332,01,Intermediate Accounting III,01/08-05/09,T Th,4:30pm-5:45pm,13,30,3.0,Open,"Sliwoski,Leonard",,Center for Business 0203,,False,$717.00,course,"$1,434.00",$149.88,1512620593.421095,20185
001180,ACCT,350,01,Cost Accounting,01/08-05/09,M W,12:00pm-1:15pm,14,25,3.0,Open,"Elbannan,Mohamed",,Center for Business 0203,,False,$717.00,course,"$1,434.00",$149.88,1512620593.63523,20185
000309,ACCT,375,01,Accounting Systems,01/08-05/09,T Th,9:00am-10:15am,13,35,3.0,Open,"Johnson,Lori",,Center for Business 0200,,False,$717.00,course,"$1,434.00",$149.88,1512620593.851974,20185
000509,ACCT,407,01,"Commercial Transactions, Property and Special Topics",01/08-05/09,T Th,3:00pm-4:15pm,2,25,3.0,Open,"Violet,William",,Center for Business 0109,,False,$717.00,course,"$1,434.00",$149.88,1512620594.056859,20185
001164,ACCT,430,01,Advanced Accounting,01/08-05/09,M W,1:30pm-2:45pm,16,25,3.0,Open,"Elbannan,Mohamed",,Center for Business 0203,,False,$717.00,course,"$1,434.00",$149.88,1512620594.270407,20185
000908,ACCT,441,01,Tax Accounting I,01/08-05/09,M W,3:00pm-4:15pm,12,25,3.0,Open,"Mollberg,Kim",,Center for Business 0200,,False,$717.00,course,"$1,434.00",$149.88,1512620594.491519,20185
001260,ACCT,460,01,Audit I,01/08-05/09,T Th,12:00pm-1:15pm,16,25,3.0,Open,"Erickson,Sheri",,Center for Business 0103,WI,False,$717.00,course,"$1,434.00",$149.88,1512620594.692423,20185
000138,ACCT,461,01,Audit II,01/08-05/09,M W,12:00pm-1:15pm,4,15,3.0,Open,"Erickson,Sheri",Blended/Hybrid,Center for Business 0103,,False,$717.00,course,"$1,434.00",$184.41,1512620594.903027,20185
000450,ACCT,469,01,Internship,01/08-05/09,n/a,Arranged,5,10,Vari.,Open,"Pettinger,Jane",,Arranged ARR,,False,$239.00,credit,$478.00,$49.96,1512620595.126583,20185
000545,ACCT,507,01,"Commercial Transactions, Property and Special Topics",01/08-05/09,T Th,3:00pm-4:15pm,8,15,3.0,Open,"Violet,William",,Center for Business 0109,,False,"$1,167.00",course,"$2,334.00",$131.88,1512620595.341282,20185
000909,ACCT,541,01,Tax Accounting I,01/08-05/09,M W,3:00pm-4:15pm,1,15,3.0,Open,"Mollberg,Kim",,Center for Business 0200,,False,"$1,167.00",course,"$2,334.00",$131.88,1512620595.555946,20185
